FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QA_QC
1, ,E0312, ,POINT,UNCLASSIFIED,ROADWAY EXPRESS INCORPORATED-ANCHORAGE TERMINAL,907,344-0099,2040 EAST 79TH AVENUE, ,ANCHORAGE,AK,99507,2956,ANCHORAGE,02020,LOCATED ON THE SE CORNER OF E 79TH AVE AND PETERSBURG ST., , , ,2006/09/11 00:00:00+00,PHONE,2006/09/11 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 124877602,TGS,-149.8443,61.14881,NAVTEQ,2006Q2,ONENTITY,YES,TGS
2, ,D0615, ,POINT,UNCLASSIFIED,FEDEX - FAIRBANKS, , ,6059 OLD AIRPORT WAY, ,FAIRBANKS,AK,99709,4603,FAIRBANKS NORTH STAR,02090, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 126068029,TGS,-147.85666,64.82466,NAVTEQ,2006Q2,BLOCKFACE, , 
3, ,D0604, ,POINT,UNCLASSIFIED,FEDEX - JUNEAU, , ,9203 BONNETT WAY, ,JUNEAU,AK,99801,9392,JUNEAU,02110, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124897033,TGS,-134.58517,58.36127,NAVTEQ,2006Q2,BLOCKFACE, , 
4, ,D0591, ,POINT,UNCLASSIFIED,FEDEX - ANCHORAGE, , ,6050 ROCKWELL AVE, ,ANCHORAGE,AK,99502,1031,ANCHORAGE,02020, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124873905,TGS,-149.99453,61.19069,NAVTEQ,2006Q2,BLOCKFACE, , 
5, ,D0577, ,POINT,UNCLASSIFIED,FEDEX - KENAI,800,463-3339,427 NORTH WILLOW STREET, ,KENAI,AK,99611,7708,KENAI PENINSULA,02122, , , , ,2006/09/20 00:00:00+00,WEB,2006/09/20 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124884600,TGS,-151.24067,60.56733,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
6, ,A0010, ,POINT,UNCLASSIFIED,"ABF FREIGHT SYSTEM - ANCHORAGE, ALASKA",907,243-9111,1800 EAST 1ST AVENUE, ,ANCHORAGE,AK,99501,1834,ANCHORAGE,02020, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",4841,GENERAL FREIGHT TRUCKING, 124870730,TGS,-149.84819,61.22119,NAVTEQ,2006Q2,BLOCKFACE, , 
7, ,D0544, ,POINT,UNCLASSIFIED,FEDEX - EAGLE RIVER,800,463-3339,16607 CORONADO ROAD, ,EAGLE RIVER,AK,99577,7889,ANCHORAGE,02020, , , , ,2006/09/12 00:00:00+00,WEB,2006/09/12 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124868381,TGS,-149.57294,61.3255,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
8, ,C0113, ,POINT,UNCLASSIFIED,DHL EXPRESS - ANCHORAGE, , ,3501 POSTMARK DR, ,ANCHORAGE,AK,99502,1070,ANCHORAGE,02020, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124874101,TGS,-149.98934,61.18901,NAVTEQ,2006Q2,BLOCKFACE, , 
9, ,E0232, ,POINT,UNCLASSIFIED,ROADWAY INCORPORATED - TACOMA TERMINAL,206,587-0104,2807 70TH AVENUE EAST, ,TACOMA,WA,98424,3605,PIERCE,53053,LOCATED AT THE SOUTHEAST CORNER OF 70TH AVENUE EAST AND 28TH STREET EAST., , , ,2006/09/18 00:00:00+00,PHONE,2006/09/18 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)", 124457703,TGS,-122.33594,47.23112,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
10, ,G0438, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - WARRENTON,800,742-5877,2360 12TH PLACE, ,WARRENTON,OR,97146,9300,CLATSOP,41007, , , , ,2006/09/20 00:00:00+00,WEB,2006/09/20 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 119705303,TGS,-123.88183,46.15227,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
